Timestamp,Interface,Protocol,Direction,Message Name,Additional Info
6/5/2023 8:57:52.135 PM,NR-Uu,NR-RRC,gNB → UE,NR5G Security Mode Command,
6/5/2023 8:57:52.135 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration State,
6/5/2023 8:57:52.135 PM,NR-Uu,NR-RRC,UE → gNB,NR5G Security Mode Complete,
6/5/2023 8:57:52.137 PM,NR-Uu,NR-RRC,gNB → UE,NR5G UE Capability Enquiry,
6/5/2023 8:57:52.137 PM,NR-Uu,NR-RRC,UE → gNB,NR5G Ue Capability Information,
6/5/2023 8:57:52.184 PM,NR-Uu,NR-RRC,gNB → UE,NR5G DL Information Transfer,
6/5/2023 8:57:52.185 PM,NR-Uu,NR-RRC,gNB → UE,NR5G UE Capability Enquiry,
6/5/2023 8:57:52.185 PM,NAS,5GMM,AMF → UE,NR5G Registration Accept,
6/5/2023 8:57:52.185 PM,NR-Uu,NR-RRC,UE → gNB,NR5G Ue Capability Information,
6/5/2023 8:57:52.307 PM,NR-Uu,NR-RRC,gNB → UE,NR5G DL Information Transfer,
6/5/2023 8:57:52.307 PM,NAS,5GMM,AMF → UE,NR5G Configuration Update Command,
6/5/2023 8:57:52.453 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:52.570 PM,NAS,5GSM,UE → SMF,NR5G PDU Session Establishment Request,
6/5/2023 8:57:52.570 PM,NAS,5GMM,UE → AMF,NR5G UL NAS Transport,
6/5/2023 8:57:52.570 PM,NR-Uu,NR-RRC,UE → gNB,NR5G Ul Information Transfer,
6/5/2023 8:57:52.571 PM,NAS,5GSM,UE → SMF,NR5G PDU Session Establishment Request,
6/5/2023 8:57:52.571 PM,NAS,5GMM,UE → AMF,NR5G UL NAS Transport,
6/5/2023 8:57:52.571 PM,NR-Uu,NR-RRC,UE → gNB,NR5G Ul Information Transfer,
6/5/2023 8:57:52.571 PM,NR-Uu,NR-RRC,gNB → UE,NR5G System Information,
6/5/2023 8:57:52.700 PM,NR-Uu,NR-RRC,gNB → UE,NR5G System Information,
6/5/2023 8:57:52.700 PM,NR-Uu,NR-RRC,gNB → UE,NR5G System Information,
6/5/2023 8:57:52.926 PM,NR-Uu,NR-RRC,gNB → UE,NR5G RRC Reconfiguration,
6/5/2023 8:57:52.926 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration State,
